2019-05-04 17:45:30,466 p=14013 u=alex |  ERROR! the playbook: playbook.yaml.yaml could not be found
2019-05-04 17:46:12,574 p=14022 u=alex |  PLAY [Install servers] *********************************************************
2019-05-04 17:46:12,585 p=14022 u=alex |  TASK [Gathering Facts] *********************************************************
2019-05-04 17:46:16,402 p=14022 u=alex |  ok: [35.176.184.235]
2019-05-04 17:46:16,904 p=14022 u=alex |  ok: [35.178.210.69]
2019-05-04 17:46:16,918 p=14022 u=alex |  ok: [35.178.87.53]
2019-05-04 17:46:17,037 p=14022 u=alex |  ok: [3.8.212.84]
2019-05-04 17:46:17,069 p=14022 u=alex |  TASK [docker : Apt update] *****************************************************
2019-05-04 17:46:20,064 p=14022 u=alex |  changed: [35.178.87.53]
2019-05-04 17:46:20,121 p=14022 u=alex |  changed: [35.176.184.235]
2019-05-04 17:46:20,131 p=14022 u=alex |  changed: [35.178.210.69]
2019-05-04 17:46:20,196 p=14022 u=alex |  changed: [3.8.212.84]
2019-05-04 17:46:20,236 p=14022 u=alex |  TASK [docker : docker. Install packages] ***************************************
2019-05-04 17:46:22,692 p=14022 u=alex |  ok: [35.176.184.235]
2019-05-04 17:46:22,737 p=14022 u=alex |  ok: [35.178.210.69]
2019-05-04 17:46:22,743 p=14022 u=alex |  ok: [35.178.87.53]
2019-05-04 17:46:22,755 p=14022 u=alex |  ok: [3.8.212.84]
2019-05-04 17:46:22,781 p=14022 u=alex |  TASK [docker : APT - Add Docker GPG key] ***************************************
2019-05-04 17:46:25,178 p=14022 u=alex |  ok: [35.176.184.235]
2019-05-04 17:46:25,182 p=14022 u=alex |  ok: [35.178.210.69]
2019-05-04 17:46:25,189 p=14022 u=alex |  ok: [3.8.212.84]
2019-05-04 17:46:25,190 p=14022 u=alex |  ok: [35.178.87.53]
2019-05-04 17:46:25,235 p=14022 u=alex |  TASK [docker : Add fingerprint] ************************************************
2019-05-04 17:46:27,089 p=14022 u=alex |   [WARNING]: Consider using 'become', 'become_method', and 'become_user' rather
than running sudo

2019-05-04 17:46:27,089 p=14022 u=alex |  changed: [35.176.184.235]
2019-05-04 17:46:27,144 p=14022 u=alex |  changed: [35.178.210.69]
2019-05-04 17:46:27,177 p=14022 u=alex |  changed: [35.178.87.53]
2019-05-04 17:46:27,240 p=14022 u=alex |  changed: [3.8.212.84]
2019-05-04 17:46:27,279 p=14022 u=alex |  TASK [docker : APT - Add Docker repository] ************************************
2019-05-04 17:46:32,990 p=14022 u=alex |  changed: [35.176.184.235]
2019-05-04 17:46:33,136 p=14022 u=alex |  changed: [35.178.87.53]
2019-05-04 17:46:33,259 p=14022 u=alex |  changed: [35.178.210.69]
2019-05-04 17:46:33,270 p=14022 u=alex |  changed: [3.8.212.84]
2019-05-04 17:46:33,314 p=14022 u=alex |  TASK [docker : Apt update] *****************************************************
2019-05-04 17:46:36,247 p=14022 u=alex |  changed: [35.176.184.235]
2019-05-04 17:46:36,382 p=14022 u=alex |  changed: [35.178.87.53]
2019-05-04 17:46:36,419 p=14022 u=alex |  changed: [3.8.212.84]
2019-05-04 17:46:36,450 p=14022 u=alex |  changed: [35.178.210.69]
2019-05-04 17:46:36,488 p=14022 u=alex |  TASK [docker : install docker] *************************************************
2019-05-04 17:46:55,195 p=14022 u=alex |  changed: [35.176.184.235]
2019-05-04 17:46:55,200 p=14022 u=alex |  changed: [35.178.87.53]
2019-05-04 17:46:55,509 p=14022 u=alex |  changed: [3.8.212.84]
2019-05-04 17:46:55,538 p=14022 u=alex |  changed: [35.178.210.69]
2019-05-04 17:46:55,577 p=14022 u=alex |  TASK [docker : Modify privilege] ***********************************************
2019-05-04 17:46:57,487 p=14022 u=alex |  changed: [35.178.210.69]
2019-05-04 17:46:57,564 p=14022 u=alex |  changed: [35.176.184.235]
2019-05-04 17:46:57,568 p=14022 u=alex |  changed: [3.8.212.84]
2019-05-04 17:46:57,578 p=14022 u=alex |  changed: [35.178.87.53]
2019-05-04 17:46:57,606 p=14022 u=alex |  TASK [docker : Change privilege of docker] *************************************
2019-05-04 17:46:59,238 p=14022 u=alex |   [WARNING]: Consider using the file module with mode rather than running
'chmod'.  If you need to use command because file is insufficient you can add
'warn: false' to this command task or set 'command_warnings=False' in
ansible.cfg to get rid of this message.

2019-05-04 17:46:59,238 p=14022 u=alex |  changed: [35.176.184.235]
2019-05-04 17:46:59,314 p=14022 u=alex |  changed: [35.178.87.53]
2019-05-04 17:46:59,341 p=14022 u=alex |  changed: [35.178.210.69]
2019-05-04 17:46:59,350 p=14022 u=alex |  changed: [3.8.212.84]
2019-05-04 17:46:59,386 p=14022 u=alex |  TASK [docker : Restart Docker service] *****************************************
2019-05-04 17:47:01,407 p=14022 u=alex |  ok: [35.176.184.235]
2019-05-04 17:47:01,496 p=14022 u=alex |  ok: [3.8.212.84]
2019-05-04 17:47:01,571 p=14022 u=alex |  ok: [35.178.87.53]
2019-05-04 17:47:02,083 p=14022 u=alex |  ok: [35.178.210.69]
2019-05-04 17:47:02,104 p=14022 u=alex |  TASK [docker : Install docker_compose] *****************************************
2019-05-04 17:47:06,302 p=14022 u=alex |  changed: [35.176.184.235]
2019-05-04 17:47:06,310 p=14022 u=alex |  changed: [35.178.87.53]
2019-05-04 17:47:06,508 p=14022 u=alex |  changed: [3.8.212.84]
2019-05-04 17:47:07,184 p=14022 u=alex |  changed: [35.178.210.69]
2019-05-04 17:47:07,226 p=14022 u=alex |  TASK [docker : Install docker_compose] *****************************************
2019-05-04 17:47:09,009 p=14022 u=alex |  changed: [35.178.210.69]
2019-05-04 17:47:09,038 p=14022 u=alex |  changed: [35.176.184.235]
2019-05-04 17:47:09,073 p=14022 u=alex |  changed: [3.8.212.84]
2019-05-04 17:47:09,089 p=14022 u=alex |  changed: [35.178.87.53]
2019-05-04 17:47:09,105 p=14022 u=alex |  TASK [docker : Docker-py install] **********************************************
2019-05-04 17:47:13,275 p=14022 u=alex |  changed: [35.178.87.53]
2019-05-04 17:47:13,283 p=14022 u=alex |  changed: [35.176.184.235]
2019-05-04 17:47:13,344 p=14022 u=alex |  changed: [3.8.212.84]
2019-05-04 17:47:13,373 p=14022 u=alex |  changed: [35.178.210.69]
2019-05-04 17:47:13,379 p=14022 u=alex |  PLAY RECAP *********************************************************************
2019-05-04 17:47:13,380 p=14022 u=alex |  3.8.212.84                 : ok=14   changed=10   unreachable=0    failed=0   
2019-05-04 17:47:13,381 p=14022 u=alex |  35.176.184.235             : ok=14   changed=10   unreachable=0    failed=0   
2019-05-04 17:47:13,381 p=14022 u=alex |  35.178.210.69              : ok=14   changed=10   unreachable=0    failed=0   
2019-05-04 17:47:13,382 p=14022 u=alex |  35.178.87.53               : ok=14   changed=10   unreachable=0    failed=0   
